StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q16,Q12,Q13,Q14
9/14/20 7:55,9/14/20 7:58,IP Address,31.152.250.254,100,137,TRUE,9/14/20 7:58,R_23f95rO7yOE5M3c,,,,,40.52330017,22.20359802,anonymous,EN,Somewhat agree,Somewhat disagree,Agree,Somewhat disagree,Agree,Disagree,Neither agree nor disagree,Carbon footprint,Competitive prices,33,Male,Master's Degree,,Suburban,,,,No
9/14/20 8:02,9/14/20 8:05,IP Address,50.233.222.126,100,138,TRUE,9/14/20 8:05,R_1ds4G3Ag71HqDCR,,,,,41.87190247,-87.6588974,anonymous,EN,Disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Performance and technology ,Fast charging,41,Male,Doctorate Degree,"More than $300,000",Urban,,IL,Chicago,No
9/14/20 8:03,9/14/20 8:06,IP Address,45.27.31.4,100,135,TRUE,9/14/20 8:06,R_10xvd4RaCKIZUhx,,,,,37.75059509,-122.4121017,anonymous,EN,Disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Performance ,Variety ,50,Male,Bachelor's Degree,"More than $300,000",Urban,,California,San Francisco,No
9/14/20 8:07,9/14/20 8:09,IP Address,70.120.103.22,100,66,TRUE,9/14/20 8:09,R_1jKc4zeXeU4AbEu,,,,,32.96099854,-96.98410034,anonymous,EN,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,,,,Male,Master's Degree,"$120,000 - $160,000",Suburban,,,,No
9/14/20 8:11,9/14/20 8:14,IP Address,73.126.96.20,100,151,TRUE,9/14/20 8:14,R_27HXw7MUDSTqFyu,,,,,42.373703,-71.12840271,anonymous,EN,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Somewhat disagree,Neither agree nor disagree,Disagree,Simpler from a mechanical perspective.,Network of supercharging stations is insufficient in many areas. Note one of the questions above just shows a set of answer choices without a question.,33,Male,Doctorate Degree,,Urban,,MA,Cambridge,No
9/14/20 8:26,9/14/20 8:27,IP Address,174.244.128.98,100,85,TRUE,9/14/20 8:27,R_ZCeR4erTFX8brep,,,,,40.69549561,-73.96669769,anonymous,EN,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,,,39,Male,Bachelor's Degree,"$120,000 - $160,000",Urban,,Ny,Nyc,No
9/14/20 8:24,9/14/20 8:32,IP Address,47.208.185.177,100,463,TRUE,9/14/20 8:32,R_1jH6upmaiWjN1mJ,,,,,39.33850098,-120.1728973,anonymous,EN,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Strongly Disagree,Neither agree nor disagree,That it's better for the planet,Affordability ,35,Female,Master's Degree,"More than $300,000",Urban,,CA,Santa Monica,No
9/14/20 8:32,9/14/20 8:35,IP Address,70.121.64.221,100,171,TRUE,9/14/20 8:35,R_2s6VOIi7RmMYvIw,,,,,30.50450134,-97.82089996,anonymous,EN,Disagree,Somewhat agree,Disagree,Agree,Strongly agree,Strongly Disagree,Somewhat agree,It’s overall positive impact on the environment.,Availability of charging ports and the overall range provided by current models.,41,Male,Master's Degree,"$80,000 - 120,000",Suburban,,Texas,Austin,No
9/14/20 8:46,9/14/20 8:48,IP Address,67.133.72.154,100,95,TRUE,9/14/20 8:48,R_3ef6x8aYLYthEm9,,,,,33.71470642,-112.240097,anonymous,EN,Somewhat disagree,Strongly Disagree,Strongly Disagree,Somewhat agree,Agree,Strongly Disagree,Disagree,The lack of gas ,Range and radiation safety ,40,Female,Bachelor's Degree,"$80,000 - 120,000",Suburban,,Arizona ,Phoenix ,No
9/14/20 8:49,9/14/20 8:50,IP Address,63.240.136.242,100,84,TRUE,9/14/20 8:50,R_3HzQObYdrJ82yIR,,,,,39.86160278,-88.9355011,anonymous,EN,Strongly agree,Somewhat disagree,Disagree,Strongly agree,Neither agree nor disagree,Disagree,Disagree,Not paying for gas,Towing capacity,25,Male,Master's Degree,"$40,000 - 80,000",Rural,,Illinois,Decatur,No
9/14/20 8:52,9/14/20 8:53,IP Address,76.31.136.220,100,98,TRUE,9/14/20 8:53,R_31AdPose0xrlyW1,,,,,29.83230591,-95.73600006,anonymous,EN,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,,More mileage ,39,Female,Master's Degree,"$120,000 - $160,000",Urban,,Texas,Cypress,No
9/14/20 8:59,9/14/20 9:01,IP Address,67.184.118.234,100,84,TRUE,9/14/20 9:01,R_xbh5UylwCiZsMPD,,,,,41.94599915,-87.70330048,anonymous,EN,Disagree,Disagree,Disagree,Agree,Strongly agree,Disagree,Disagree,,,33,Male,Bachelor's Degree,,Urban,,Illinois,Chicago,No
9/14/20 9:28,9/14/20 9:31,IP Address,69.255.197.81,100,203,TRUE,9/14/20 9:31,R_30pLiNmoNKol33l,,,,,39.32980347,-76.63500214,anonymous,EN,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Disagree,Somewhat disagree,"I might chose a hybrid option for my next car due to
Fuel efficiency and the long range capability ",Range. It works for most situations when you’re only using the car in the city but I don’t want to chose an car with only a battery.,28,Female,Master's Degree,"$200,000 - $300,000",Urban,,Maryland ,,No
9/14/20 9:57,9/14/20 9:59,IP Address,71.86.167.53,100,94,TRUE,9/14/20 9:59,R_9ZFZt0LAYGqM1Hz,,,,,43.07000732,-89.51059723,anonymous,EN,Strongly Disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Carbon footprint,Access to charging,32,Female,Bachelor's Degree,"$80,000 - 120,000",Suburban,,,,No
9/14/20 10:21,9/14/20 10:24,IP Address,174.221.158.232,100,149,TRUE,9/14/20 10:24,R_1NmlCsuSmo3Hq7b,,,,,41.69839478,-87.70310211,anonymous,EN,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,,Charging stations and charging speed ,40,Male,Master's Degree,"$200,000 - $300,000",Urban,,IL,Chicago,No
9/14/20 11:24,9/14/20 11:27,IP Address,64.53.248.245,100,172,TRUE,9/14/20 11:27,R_1MXQ1HvMBibLjQ6,,,,,42.01280212,-88.09670258,anonymous,EN,Strongly Disagree,Strongly Disagree,Somewhat disagree,Agree,Somewhat disagree,Strongly Disagree,Strongly Disagree,"Speed off the line, use of them to promote autonomy. ","Driving distance, charging infrastructure, styling, cost. ",28,Female,Master's Degree,"$120,000 - $160,000",Suburban,,Illinois ,Rolling Meadows ,Yes
9/14/20 11:53,9/14/20 11:54,IP Address,70.95.68.217,100,105,TRUE,9/14/20 11:54,R_123AMENzwD6CAb0,,,,,32.95109558,-117.2240982,anonymous,EN,Strongly Disagree,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Disagree,Range,Range and price,30,Male,Master's Degree,"$160,000 - $200,000",Suburban,,California ,San Diego,No
9/14/20 11:54,9/14/20 11:56,IP Address,71.57.101.241,100,108,TRUE,9/14/20 11:56,R_12sAus5W7dVdjI7,,,,,41.59100342,-88.04840088,anonymous,EN,Somewhat agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Somewhat agree,Reduce carbon footprint ,More variety ,37,Male,Bachelor's Degree,"$120,000 - $160,000",Suburban,,Illinois,Lemont,No
9/14/20 12:00,9/14/20 12:01,IP Address,50.205.61.98,100,60,TRUE,9/14/20 12:01,R_1je7HE41YBv4q4r,,,,,29.83650208,-95.43769836,anonymous,EN,Disagree,Disagree,Disagree,Neither agree nor disagree,Somewhat agree,Disagree,Strongly Disagree,Acceleration,Range,44,Male,Bachelor's Degree,"$120,000 - $160,000",Suburban,,Texas,Houston,No
9/14/20 11:14,9/14/20 12:01,IP Address,162.119.16.13,100,2795,TRUE,9/14/20 12:01,R_UFoyvAcQYnlgbyp,,,,,37.7368927,-122.2426987,anonymous,EN,Disagree,Disagree,Somewhat agree,Agree,Disagree,Agree,Neither agree nor disagree,Fuel savings. Instant torque. Future tech. ,Price. Charging takes too long. Tesla or bust. ,34,Male,Master's Degree,"$200,000 - $300,000",Suburban,,California,Newark,No
9/14/20 14:52,9/14/20 15:16,IP Address,50.4.81.165,100,1435,TRUE,9/14/20 15:16,R_2dWPLqeYfFegFSo,,,,,41.24630737,-81.83100128,anonymous,EN,Somewhat agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,"reduced emissions , gives almost the same features as a regular car ,  low maintainance ,  Tax breaks , ","longer recharge times , short running distance and un reliability around charging stations. 
",38,Male,Bachelor's Degree,,Urban,,ohio,cleveland,No
9/14/20 16:54,9/14/20 16:56,IP Address,99.52.170.129,100,84,TRUE,9/14/20 16:56,R_2pXXE6pwR2W1hWp,,,,,41.94619751,-88.07579803,anonymous,EN,Somewhat agree,Agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,No gas,Range,46,Male,Master's Degree,"More than $300,000",Suburban,,Illinois ,,No
9/14/20 17:10,9/14/20 17:12,IP Address,98.209.34.118,100,128,TRUE,9/14/20 17:12,R_3oO1DDyWiaJq5pI,,,,,42.66259766,-83.18370056,anonymous,EN,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,If electricity was made from renewable resources in my city,City has to make electricity from renewable resources,37,Female,Master's Degree,"$120,000 - $160,000",Urban,,Michigan,Rochester Hills,No
9/14/20 17:29,9/14/20 17:33,IP Address,68.190.216.223,100,273,TRUE,9/14/20 17:33,R_27Kk38ILiI46TaF,,,,,34.14239502,-118.1257019,anonymous,EN,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly Disagree,Agree,"reduce carbon footprint, performance, low maintenance ",available charging in many residential places,36,Male,Master's Degree,"$80,000 - 120,000",Urban,,CA,Pasadena,Yes
9/14/20 17:37,9/14/20 17:40,IP Address,199.7.157.2,100,173,TRUE,9/14/20 17:40,R_1dsQL7Fkj4INpY9,,,,,43.6546936,-79.36229706,anonymous,EN,Somewhat disagree,Agree,Agree,Somewhat disagree,Strongly agree,Strongly agree,Agree,"Lower carbon emissions, ease of maintenance. Also interested in being part of the future landscape of transport.",Mainly price. It’s close to affordable but a major investment. The technology also changes fast.,46,Male,Master's Degree,"$120,000 - $160,000",Urban,,Ontario,Ottawa ,No
9/14/20 17:51,9/14/20 17:54,IP Address,67.169.164.22,100,136,TRUE,9/14/20 17:54,R_2dxS9Hevx3bkwbS,,,,,37.31770325,-122.0438004,anonymous,EN,Somewhat disagree,Somewhat disagree,Somewhat agree,Agree,Strongly agree,Strongly Disagree,Neither agree nor disagree,"Range, affordability",Recharge time is too long,39,Male,Master's Degree,"$200,000 - $300,000",Urban,,CA,San Jose,No
9/14/20 17:59,9/14/20 18:01,IP Address,65.79.144.127,100,109,TRUE,9/14/20 18:01,R_3h4pT2e8izzKfM3,,,,,41.95550537,-87.66130066,anonymous,EN,Disagree,Somewhat agree,Strongly agree,Somewhat agree,Disagree,Strongly Disagree,Disagree,No gas,Price,36,Male,Doctorate Degree,"$200,000 - $300,000",Urban,,Il,Chicago,No
9/14/20 18:06,9/14/20 18:07,IP Address,68.193.40.176,100,85,TRUE,9/14/20 18:07,R_PTAeUbyQyfhUi9b,,,,,40.92770386,-74.34279633,anonymous,EN,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Eco friendly ,Family friendly and cost effective,34,Female,Master's Degree,"More than $300,000",Suburban,,New Jersey,,No
9/14/20 18:33,9/14/20 18:36,IP Address,217.180.232.14,100,177,TRUE,9/14/20 18:36,R_3MFr8v4dHksNsBU,,,,,41.99769592,-88.69239807,anonymous,EN,Disagree,Somewhat disagree,Somewhat disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly agree,Reduced use of gasoline and reduced cost of driving. Also the time saved from needing to get gas.,"Range, and affordability.",32,Male,Bachelor's Degree,"$120,000 - $160,000",Suburban,,Illinois,Oswego ,No
9/14/20 18:38,9/14/20 18:42,IP Address,71.223.160.41,100,201,TRUE,9/14/20 18:42,R_2idSWa6bl2ZEsNj,,,,,33.56129456,-112.1442032,anonymous,EN,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,"Environment 
Tax Benefits
Drive",I have been using electric for 4.5 years and they are perfect for my needs. ,40,Male,Doctorate Degree,,Suburban,,Arizona,Phoenix ,No
9/14/20 19:01,9/14/20 19:02,IP Address,73.247.97.244,100,71,TRUE,9/14/20 19:02,R_3qwzvXQqlaVJX5i,,,,,42.16140747,-87.96600342,anonymous,EN,Disagree,Strongly Disagree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Savings on gas prices,"How far they can go, infrastructure for easy re-charging",41,Female,Doctorate Degree,,Suburban,,Illinois,Chicago,No
9/14/20 19:08,9/14/20 19:10,IP Address,76.29.82.100,100,146,TRUE,9/14/20 19:10,R_30wavFB3KifLM5d,,,,,41.87319946,-88.00019836,anonymous,EN,Somewhat disagree,Agree,Somewhat agree,Agree,Strongly Disagree,Somewhat agree,Agree,"No gas or oil changes. They are also more ""current"" than other cars.  ","Too expensive, need more suv models",50,Female,Bachelor's Degree,"$160,000 - $200,000",Suburban,,il,lombard,No
9/14/20 19:24,9/14/20 19:26,IP Address,107.77.217.98,100,124,TRUE,9/14/20 19:26,R_1j7YsCxctd4H9kP,,,,,29.87379456,-95.52330017,anonymous,EN,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Performance ,Range,39,Male,Master's Degree,"$120,000 - $160,000",Urban,,TX,Houston,No
9/14/20 19:28,9/14/20 19:31,IP Address,24.118.63.159,100,191,TRUE,9/14/20 19:31,R_2ZJRxtciVnnhoIt,,,,,44.876297,-93.4865036,anonymous,EN,Somewhat agree,Somewhat agree,Strongly agree,Agree,Agree,Somewhat agree,Somewhat agree,"Reduced carbon footprint, performance, low maintenance cost, and advanced technology. ",Affordibility and history of reliability. ,34,Male,Bachelor's Degree,"$160,000 - $200,000",Suburban,,Minnesota,Eden Prairie,No
9/14/20 20:55,9/14/20 20:58,IP Address,73.22.222.35,100,162,TRUE,9/14/20 20:58,R_4ZsMsVQFUL38w9P,,,,,42.07539368,-87.82219696,anonymous,EN,Strongly Disagree,Somewhat disagree,Neither agree nor disagree,Agree,Somewhat agree,Strongly Disagree,Disagree,"Technology, auto pilot ","Battery too big, not long-lasting, charging takes long, not enough charging stations. ",28,Female,Master's Degree,"$160,000 - $200,000",Suburban,,Illinois,Glenview,No
9/14/20 21:05,9/14/20 21:06,IP Address,67.175.8.152,100,95,TRUE,9/14/20 21:06,R_3pgWMxjMv9Qu38u,,,,,41.89570618,-87.9434967,anonymous,EN,Disagree,Disagree,Somewhat agree,Somewhat agree,Agree,Strongly Disagree,Somewhat agree,Better for environment ,Chargers available everywhere,38,Female,Doctorate Degree,"$200,000 - $300,000",Suburban,,IL,Elmhurst,No
9/14/20 21:26,9/14/20 21:28,IP Address,72.180.89.22,100,128,TRUE,9/14/20 21:28,R_2amg1iPtDQOzeYD,,,,,33.03259277,-96.7858963,anonymous,EN,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Strongly Disagree,Agree,Sustainable alternate to gas cars,Price and range could be better,30,Male,Master's Degree,"$160,000 - $200,000",Suburban,,TX,Dallas,No
9/14/20 22:07,9/14/20 22:10,IP Address,173.243.191.174,100,154,TRUE,9/14/20 22:10,R_12brL1dokt1aV11,,,,,39.12150574,-86.57839966,anonymous,EN,Disagree,Strongly agree,Agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,The technology and capabilities to charge via solar array. ,Cheap enough price point and capability to charge at home without spending a lot of money for charging station ,38,Male,Bachelor's Degree,"$120,000 - $160,000",Suburban,,IN,Bloomington,No
9/14/20 22:19,9/14/20 22:23,IP Address,104.172.140.66,100,238,TRUE,9/14/20 22:23,R_2XagkbahdJKMcxX,,,,,34.21490479,-119.1761017,anonymous,EN,Somewhat disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Somewhat agree,,"Electric cars should have more aggressive body styling, even though when not used to perform racing. Also, they should use better psychoacoustics to impress people that the electric car has more power (i.e. put some more noise when running).","Electric cars still do not have proper infrastructure to support them. Regular cars have gas stations, and there not enough for electric cars and only in places where people can spend money, such as malls.",32,Male,Master's Degree,"$40,000 - 80,000",Suburban,,California,Oxnard,No
9/15/20 0:30,9/15/20 0:36,IP Address,172.114.44.97,100,357,TRUE,9/15/20 0:36,R_yKgcIXkoRGoy7bX,,,,,33.87179565,-118.3368988,anonymous,EN,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly Disagree,Neither agree nor disagree,"Gas usage, ease of charging ","Electric Mileage, not being able to take long road trips",42,Female,Bachelor's Degree,"$160,000 - $200,000",Urban,,CA,Los Angeles,No
9/15/20 1:18,9/15/20 1:21,IP Address,71.194.35.143,100,155,TRUE,9/15/20 1:21,R_2Pwd9tKofnzut22,,,,,41.8500061,-87.71649933,anonymous,EN,Disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Disagree,Somewhat disagree,Somewhat agree,Cost savings on regular and long term maintenance,"Comprehensive choice is still lacking, not enough models",37,Male,Bachelor's Degree,"$200,000 - $300,000",Urban,,IL,Chicago,No
9/15/20 7:58,9/15/20 8:28,IP Address,206.71.246.38,100,1806,TRUE,9/15/20 8:28,R_2BwJXRCsQcIIdXn,,,,,40.69400024,-73.99009705,anonymous,EN,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly Disagree,Disagree,,,35,Male,Master's Degree,"$80,000 - 120,000",Urban,,NY,astoria,No
9/15/20 11:47,9/15/20 11:50,IP Address,99.152.36.164,100,156,TRUE,9/15/20 11:50,R_votVQFw2E7iiQsF,,,,,42.42630005,-82.90139771,anonymous,EN,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,No more spending on gasoline,"Range and fast-charging stations - definitely could not be our only vehicle, would need a second fueled by gasoline still for long trips.",48,Male,Bachelor's Degree,"$200,000 - $300,000",Suburban,,Michigan,Detroit,Yes
9/15/20 13:24,9/15/20 13:26,IP Address,100.36.148.185,100,144,TRUE,9/15/20 13:26,R_2thVcYOR7AQjczF,,,,,38.81730652,-77.29049683,anonymous,EN,Disagree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Tesla is the best made car now.,Range.  Price.,12,Male,Doctorate Degree,Click to write Choice 8,Suburban,,DC,Washington,No
9/15/20 15:02,9/15/20 15:05,IP Address,207.179.239.100,100,175,TRUE,9/15/20 15:05,R_78yh8VduxqYowwN,,,,,40.70629883,-89.42030334,anonymous,EN,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,The technology in the cars along with the lack of noise and pollution from driving,"Competition,",43,Male,Bachelor's Degree,Click to write Choice 8,Rural,,IL,,No
9/15/20 18:51,9/15/20 18:54,IP Address,173.79.14.104,100,176,TRUE,9/15/20 18:54,R_2f73FWLuhX8bEcL,,,,,38.88650513,-77.0911026,anonymous,EN,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,acceleration,more range,23,Male,Bachelor's Degree,"$40,000 - 80,000",Suburban,,Maryland,Silver Spring,No
9/15/20 19:36,9/15/20 19:37,IP Address,98.37.15.31,100,84,TRUE,9/15/20 19:37,R_yrlPFK72uyig6yZ,,,,,37.75100708,-97.8219986,anonymous,EN,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Sustainability,"I think variety, cost efficiency",36,Male,Master's Degree,"$120,000 - $160,000",Suburban,Yes,California,San Francisco,No
9/15/20 22:21,9/15/20 22:23,IP Address,67.167.245.174,100,140,TRUE,9/15/20 22:23,R_2DYNLLJVXgp25iQ,,,,,41.99839783,-87.71080017,anonymous,EN,Neither agree nor disagree,Somewhat disagree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Disagree,environmentally friendly,"I don't have a garage, so I don't know how I would refuel",50,Female,Master's Degree,"$160,000 - $200,000",Urban,Yes,il,chicago,No
9/16/20 9:32,9/16/20 9:35,IP Address,201.170.95.37,100,202,TRUE,9/16/20 9:35,R_2drRBvry88j5Xhp,,,,,32.2808075,-116.6753006,anonymous,EN,Somewhat disagree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Disagree,Agree,"Reducing carbon footprint
Saving money",Nothing,38,Male,Master's Degree,"$40,000 - 80,000",Urban,No,,,No
9/16/20 10:19,9/16/20 10:21,IP Address,99.127.216.34,100,110,TRUE,9/16/20 10:21,R_1NELwu7jj6YecZX,,,,,41.85020447,-87.67359924,anonymous,EN,Strongly Disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,,,49,Male,Master's Degree,"$200,000 - $300,000",Urban,Yes,IL,Chicago,No
9/16/20 10:49,9/16/20 10:52,IP Address,35.141.124.232,100,149,TRUE,9/16/20 10:52,R_2t3tepFJlXbpqqC,,,,,28.49859619,-81.53530121,anonymous,EN,Somewhat agree,Somewhat agree,Disagree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,SaveS money on gas,Awareness of its benefits,45,Male,Master's Degree,"Less than $40,000",Suburban,Yes,FLorida,Orlando,No
